reference.read,View Reference Data,"Allows viewing of regions, countries, airports, airlines and other reference data"
reference.write,Manage Reference Data,"Allows creating, updating and deleting reference data"
compliance.read,View Compliance Rules,"Allows viewing visa, passport, health, customs, immigration and transit rules"
compliance.write,Manage Compliance Rules,"Allows creating, updating and deleting compliance rules"
rule_management.read,View Rule Management,"Allows viewing rule versions, approvals, history and statuses"
rule_management.write,Manage Rule Management,"Allows managing rule versions, approvals and publishing"
administration.read,View Administration,"Allows viewing users, roles, permissions and API clients"
administration.write,Manage Administration,"Allows managing users, roles, permissions and API clients"
data_collection.read,View Data Collection,"Allows viewing sources, documents and collection logs"
data_collection.write,Manage Data Collection,"Allows managing sources, documents and collection logs"
system.health,View System Health,"Allows viewing application health and status"
system.admin,System Administration,"Provides unrestricted administrative access to the application"
