TOUR,Tourism,"Travel for tourism, holidays and leisure"
BUS,Business,"Travel for business meetings, conferences and commercial activities"
WORK,Employment,"Travel for employment or work assignments"
STUDY,Education,"Travel for educational or academic purposes"
MED,Medical,"Travel for medical treatment"
TRANSIT,Transit,"Passing through a country en route to another destination"
VISIT,Family Visit,"Travel to visit family or friends"
OFFICIAL,Official,"Official government travel"
DIPLOMATIC,Diplomatic,"Diplomatic missions and government assignments"
CREW,Crew Duty,"Travel as airline or ship crew members"
